section,요약 정보
항목,값
생성시각(KST),2026-03-27T09:56:39
생성시각(UTC),2026-03-27T00:56:39.007Z
단말,iPhone 16 Pro
비교 앱 목록,자사앱 | 타사앱1 | 타사앱2
비교 기준,수치가 낮을수록 우수

section,1) 지표 평균 요약 (낮을수록 우수)
지표,단위,자사앱,타사앱1,타사앱2,1등(최저),꼴등(최고),최대-최소,격차(%),순위
E2E 응답시간,ms,8465,7921,9138,타사앱1(7921),타사앱2(9138),1217,15.36%,1위 타사앱1(7921) / 2위 자사앱(8465) / 3위 타사앱2(9138)
메모리 변화량,MB,15.3,14.7,17.1,타사앱1(14.7),타사앱2(17.1),2.4,16.33%,1위 타사앱1(14.7) / 2위 자사앱(15.3) / 3위 타사앱2(17.1)
CPU 평균 사용률,%,18.7,22.1,20.1,자사앱(18.7),타사앱1(22.1),3.4,18.18%,1위 자사앱(18.7) / 2위 타사앱2(20.1) / 3위 타사앱1(22.1)
평균 전류,mA,515,469,589,타사앱1(469),타사앱2(589),120,25.59%,1위 타사앱1(469) / 2위 자사앱(515) / 3위 타사앱2(589)

section,2) 케이스별 스냅샷 비교 (낮을수록 우수)
번호,케이스,지표,단위,자사앱,타사앱1,타사앱2,1등(최저),꼴등(최고),최대-최소,격차(%),순위
045,영문 디폴트 설정,E2E 응답시간,ms,8465,7921,9138,타사앱1(7921),타사앱2(9138),1217,15.36%,1위 타사앱1(7921) / 2위 자사앱(8465) / 3위 타사앱2(9138)
045,영문 디폴트 설정,메모리 변화량,MB,15.3,14.7,17.1,타사앱1(14.7),타사앱2(17.1),2.4,16.33%,1위 타사앱1(14.7) / 2위 자사앱(15.3) / 3위 타사앱2(17.1)
045,영문 디폴트 설정,CPU 평균 사용률,%,18.7,22.1,20.1,자사앱(18.7),타사앱1(22.1),3.4,18.18%,1위 자사앱(18.7) / 2위 타사앱2(20.1) / 3위 타사앱1(22.1)
045,영문 디폴트 설정,평균 전류,mA,515,469,589,타사앱1(469),타사앱2(589),120,25.59%,1위 타사앱1(469) / 2위 자사앱(515) / 3위 타사앱2(589)

section,3) 기준 앱 대비 차이 (기준: 자사앱)
번호,케이스,지표,단위,비교앱,기준값,비교값,차이(비교-기준),차이율(%),판정
045,영문 디폴트 설정,E2E 응답시간,ms,타사앱1,8465,7921,-544,-6.43%,우수
045,영문 디폴트 설정,E2E 응답시간,ms,타사앱2,8465,9138,673,7.95%,열위
045,영문 디폴트 설정,메모리 변화량,MB,타사앱1,15.3,14.7,-0.6,-3.92%,우수
045,영문 디폴트 설정,메모리 변화량,MB,타사앱2,15.3,17.1,1.8,11.76%,열위
045,영문 디폴트 설정,CPU 평균 사용률,%,타사앱1,18.7,22.1,3.4,18.18%,열위
045,영문 디폴트 설정,CPU 평균 사용률,%,타사앱2,18.7,20.1,1.4,7.49%,열위
045,영문 디폴트 설정,평균 전류,mA,타사앱1,515,469,-46,-8.93%,우수
045,영문 디폴트 설정,평균 전류,mA,타사앱2,515,589,74,14.37%,열위
