section,반복 실행 통계
항목,값
생성시각(KST),2026-03-27T16:02:42
단말,iPhone 16 Pro
해석 가이드,p5/p95는 극단값 영향을 줄인 분포 범위입니다. n(반복횟수)이 많을수록 신뢰도가 높습니다.

단말,번호,케이스,지표,단위,앱,반복횟수,min,p5,avg,p95,max,변동폭(max-min),중앙구간폭(p95-p5),신뢰도
iPhone 16 Pro,045,영문 디폴트 설정,E2E 응답시간,ms,자사앱,5,8350,8357.6,8422.8,8485,8490,140,127.4,보통
iPhone 16 Pro,045,영문 디폴트 설정,E2E 응답시간,ms,타사앱1,5,7850,7857.6,7903.8,7948.2,7955,105,90.6,보통
iPhone 16 Pro,045,영문 디폴트 설정,E2E 응답시간,ms,타사앱2,5,9105,9111.6,9154.6,9196,9200,95,84.4,보통
iPhone 16 Pro,045,영문 디폴트 설정,메모리 변화량,MB,자사앱,5,15,15.02,15.2,15.38,15.4,0.4,0.36,보통
iPhone 16 Pro,045,영문 디폴트 설정,메모리 변화량,MB,타사앱1,5,14.5,14.52,14.66,14.78,14.8,0.3,0.26,보통
iPhone 16 Pro,045,영문 디폴트 설정,메모리 변화량,MB,타사앱2,5,17,17.02,17.14,17.28,17.3,0.3,0.26,보통
iPhone 16 Pro,045,영문 디폴트 설정,CPU 평균 사용률,%,자사앱,5,18.4,18.42,18.6,18.78,18.8,0.4,0.36,보통
iPhone 16 Pro,045,영문 디폴트 설정,CPU 평균 사용률,%,타사앱1,5,22,22.02,22.2,22.38,22.4,0.4,0.36,보통
iPhone 16 Pro,045,영문 디폴트 설정,CPU 평균 사용률,%,타사앱2,5,20,20.02,20.14,20.28,20.3,0.3,0.26,보통
iPhone 16 Pro,045,영문 디폴트 설정,평균 전류,mA,자사앱,5,505,506,512,517.4,518,13,11.4,보통
iPhone 16 Pro,045,영문 디폴트 설정,평균 전류,mA,타사앱1,5,465,465.2,467.6,469.8,470,5,4.6,보통
iPhone 16 Pro,045,영문 디폴트 설정,평균 전류,mA,타사앱2,5,587,587.4,590.8,595.2,596,9,7.8,보통
